cluster,gene,,,,,,,,,,,,,,,,
2,NNNJPOIF_00025,AAMILBOI_00046,,,,,,,,,,,,,,,
6,PNMLNJBE_00010,BDFALBBM_00010,DINEAAHN_00010,MGICCDHI_00010,OCFEKFOI_00010,CIDHKLLJ_00010,,,,,,,,,,,
4,PIMDMHEP_00003,MOFEPKCN_00006,KOPLHBGH_00006,PAONDKHO_00006,,,,,,,,,,,,,
2,GHMGBAEI_00031,IOJIKLIK_00031,,,,,,,,,,,,,,,
1,BOPJEMOM_00008,,,,,,,,,,,,,,,,
1,CMLBKDKH_00032,,,,,,,,,,,,,,,,
1,EFEAKEDL_00016,,,,,,,,,,,,,,,,
3,FIMMPJNN_00055,BOPJEMOM_00020,DGPDLLBB_00055,,,,,,,,,,,,,,
1,GFNEAOIK_00071,,,,,,,,,,,,,,,,
6,CHGBHGMI_00003,EBNOFCCN_00002,CNEAMKEG_00043,CIEIPNNI_00013,MKPCJEJK_00003,HFFEDDFJ_00002,,,,,,,,,,,
6,IKJBLBIK_00010,JJAHEJNG_00009,EJFJIICA_00010,LJJJCJKM_00008,KAFMMDNG_00010,POJEAIJC_00010,,,,,,,,,,,
9,JKDDPJPH_00001,PLPEKCAF_00001,GBPBBHJG_00001,EGALHOAJ_00018,CFLMPIEH_00001,BLNAMFJI_00001,EFCNCDAE_00001,OLLBDPFH_00001,IJBBBJFL_00001,,,,,,,,
4,POJEAIJC_00001,EJFJIICA_00001,IKJBLBIK_00001,CEGFEPDD_00001,,,,,,,,,,,,,
11,HFFEDDFJ_00017,CIEIPNNI_00029,EEDEHMMM_00004,MKPCJEJK_00018,CHGBHGMI_00019,EBMHDCHI_00004,MCEDKLEK_00004,CNEAMKEG_00058,NDDFKPPL_00009,MJEIIJNA_00003,MJFNOHPL_00008,,,,,,
1,AHBMAPJE_00017,,,,,,,,,,,,,,,,
3,MDFJFFIF_00046,PDHDOIKH_00037,PPEAPJEI_00007,,,,,,,,,,,,,,
6,MKBEIGGD_00004,LHOCMKFL_00004,BBCIJOPN_00004,KNBJAHMG_00004,OOHHBMED_00021,KPFLFOMC_00004,,,,,,,,,,,
4,IBPBOOHP_00024,KHDAMHGJ_00023,CNEAMKEG_00024,FHBPMMBH_00003,,,,,,,,,,,,,
1,GFNEAOIK_00040,,,,,,,,,,,,,,,,
3,CGHAHJMC_00017,MNOCLFAP_00017,MFOEDGJP_00017,,,,,,,,,,,,,,
4,EGALHOAJ_00013,CGHAHJMC_00005,MNOCLFAP_00005,MFOEDGJP_00005,,,,,,,,,,,,,
2,CAFLMJIC_00095,AAMILBOI_00007,,,,,,,,,,,,,,,
2,HOHICCDL_00004,PNPDPCJG_00002,,,,,,,,,,,,,,,
3,DELJAAJL_00002,BLHOFFBM_00004,KDAPJLLE_00004,,,,,,,,,,,,,,
15,MIIMDJNA_00002,LFKNGEEF_00002,AONIEPPH_00003,MOBHADPN_00002,IBPBOOHP_00007,AMJMGKGB_00003,LNHEDDDO_00003,PAJFPAMC_00006,CNEAMKEG_00007,KHDAMHGJ_00006,LEMLAGCJ_00002,HGDEFLKI_00002,ADIJKJOK_00002,OONAPPJM_00003,EOLKNJBM_00006,,
7,ADIJKJOK_00008,IBPBOOHP_00013,AMJMGKGB_00009,PAJFPAMC_00012,CNEAMKEG_00013,KHDAMHGJ_00012,EOLKNJBM_00012,,,,,,,,,,
8,CFLMPIEH_00002,PLPEKCAF_00002,GBPBBHJG_00002,JKDDPJPH_00002,OLLBDPFH_00002,EFCNCDAE_00002,BLNAMFJI_00002,IJBBBJFL_00002,,,,,,,,,
1,EHOOANAO_00019,,,,,,,,,,,,,,,,
6,DINEAAHN_00003,PNMLNJBE_00003,OCFEKFOI_00003,MGICCDHI_00003,BDFALBBM_00003,CIDHKLLJ_00003,,,,,,,,,,,
1,KCOELLMG_00038,,,,,,,,,,,,,,,,
9,DCLJHIOD_00008,GAIDFPLK_00012,GDAEFEPF_00004,JKFAJILD_00008,HLMBFDGP_00004,GHDFECEE_00014,EGKGNLGI_00010,OCDLMJCJ_00004,APIDFFDB_00024,,,,,,,,
3,EOHBAPLG_00004,PNPDPCJG_00007,HOHICCDL_00009,,,,,,,,,,,,,,
9,LNHEDDDO_00001,AONIEPPH_00001,IBPBOOHP_00005,AMJMGKGB_00001,OONAPPJM_00001,KHDAMHGJ_00004,CNEAMKEG_00005,PAJFPAMC_00004,EOLKNJBM_00004,,,,,,,,
5,PAJFPAMC_00017,IBPBOOHP_00018,KHDAMHGJ_00017,CNEAMKEG_00018,EOLKNJBM_00017,,,,,,,,,,,,
2,FIMMPJNN_00024,DGPDLLBB_00024,,,,,,,,,,,,,,,
8,CANDCAGL_00003,HFFEDDFJ_00012,NDDFKPPL_00004,CNEAMKEG_00053,CHGBHGMI_00014,CIEIPNNI_00024,MKPCJEJK_00013,MJFNOHPL_00003,,,,,,,,,
17,KHDAMHGJ_00009,EOLKNJBM_00009,LFKNGEEF_00005,AONIEPPH_00006,MOBHADPN_00005,IBPBOOHP_00010,AMJMGKGB_00006,LNHEDDDO_00006,PAJFPAMC_00009,KCDPKGBJ_00004,CNEAMKEG_00010,MIIMDJNA_00005,OONAPPJM_00006,ADIJKJOK_00005,HGDEFLKI_00005,LEMLAGCJ_00005,ELOFKCAL_00002
1,KNBJAHMG_00014,,,,,,,,,,,,,,,,
1,MGICCDHI_00015,,,,,,,,,,,,,,,,
5,CNEAMKEG_00017,IBPBOOHP_00017,PAJFPAMC_00016,KHDAMHGJ_00016,EOLKNJBM_00016,,,,,,,,,,,,
