cluster,gene,,,,,,,,,
1,Potential_gene_1:232..441_210_bp,,,,,,,,,
3,Potential_gene_30:29003..29854_852_bp,Potential_gene_20:19474..20325_852_bp,Potential_gene_11:10056..10907_852_bp,,,,,,,
3,Potential_gene_51:49625..51181_1557_bp,Potential_gene_1:185..1741_1557_bp,Potential_gene_43:40683..42239_1557_bp,,,,,,,
2,Potential_gene_4:2000..3436_1437_bp,Potential_gene_33:32631..34067_1437_bp,,,,,,,,
1,Potential_gene_39:44698..45408_711_bp,,,,,,,,,
6,Potential_gene_2:1444..1887_444_bp,Potential_gene_9:8648..9091_444_bp,Potential_gene_5:5326..5769_444_bp,Potential_gene_38:39279..39722_444_bp,Potential_gene_3:2000..2443_444_bp,Potential_gene_2:701..1144_444_bp,,,,
4,Potential_gene_37:36803..38005_1203_bp,Potential_gene_29:27861..29063_1203_bp,Potential_gene_36:36783..37973_1191_bp,Potential_gene_28:27841..29031_1191_bp,,,,,,
1,Potential_gene_14:8697..9557_861_bp,,,,,,,,,
1,Potential_gene_64:96944..97807_864_bp,,,,,,,,,
1,Potential_gene_1:407..904_498_bp,,,,,,,,,
4,Potential_gene_19:51319..51798_480_bp,Potential_gene_49:81610..82089_480_bp,Potential_gene_10:11712..12191_480_bp,Potential_gene_10:7382..7861_480_bp,,,,,,
10,Potential_gene_2:1946..2233_288_bp,Potential_gene_10:9481..9768_288_bp,Potential_gene_6:4344..4631_288_bp,Potential_gene_2:1096..1383_288_bp,Potential_gene_4:3359..3646_288_bp,Potential_gene_2:658..945_288_bp,Potential_gene_12:11208..11495_288_bp,Potential_gene_8:7087..7374_288_bp,Potential_gene_1:156..443_288_bp,Potential_gene_23:19362..19649_288_bp
2,Potential_gene_9:8270..8920_651_bp,Potential_gene_19:17799..18449_651_bp,,,,,,,,
1,Potential_gene_44:51182..51754_573_bp,,,,,,,,,
1,Potential_gene_5:3699..4172_474_bp,,,,,,,,,
2,Potential_gene_4:2000..3238_1239_bp,Potential_gene_2:734..1972_1239_bp,,,,,,,,
2,Potential_gene_64:75680..76411_732_bp,Potential_gene_12:10463..11194_732_bp,,,,,,,,
2,Potential_gene_9:5880..6575_696_bp,Potential_gene_8:4929..5624_696_bp,,,,,,,,
3,Potential_gene_37:35210..35479_270_bp,Potential_gene_68:65704..65973_270_bp,Potential_gene_18:14962..15231_270_bp,,,,,,,
1,Potential_gene_2:1919..4402_2484_bp,,,,,,,,,
1,Potential_gene_17:22890..23522_633_bp,,,,,,,,,
2,Potential_gene_7:5171..6433_1263_bp,Potential_gene_4:3452..4714_1263_bp,,,,,,,,
6,Potential_gene_14:9767..10267_501_bp,Potential_gene_23:53704..54204_501_bp,Potential_gene_14:14097..14597_501_bp,Potential_gene_3:1090..1590_501_bp,Potential_gene_53:83995..84495_501_bp,Potential_gene_4:1500..2000_501_bp,,,,
7,Potential_gene_5:3402..4139_738_bp,Potential_gene_30:59511..60248_738_bp,Potential_gene_6:5010..5747_738_bp,Potential_gene_21:19904..20641_738_bp,Potential_gene_60:89802..90539_738_bp,Potential_gene_11:7307..8044_738_bp,Potential_gene_21:15574..16311_738_bp,,,
3,Potential_gene_10:7482..7736_255_bp,Potential_gene_11:8495..8749_255_bp,Potential_gene_6:4423..4677_255_bp,,,,,,,
1,Potential_gene_1:91..843_753_bp,,,,,,,,,
2,Potential_gene_13:12928..13170_243_bp,Potential_gene_13:12561..12803_243_bp,,,,,,,,
1,Potential_gene_55:42050..42799_750_bp,,,,,,,,,
3,Potential_gene_31:30521..31666_1146_bp,Potential_gene_1:230..1375_1146_bp,Potential_gene_33:30521..31666_1146_bp,,,,,,,
